Index,City
1,Bangalore
3,Bangalore
9,Bangalore
10,Bangalore
15,Bangalore
34,Bangalore
38,Bangalore
42,Bangalore
46,Bangalore
49,Bangalore
7,Delhi
13,Delhi
19,Delhi
20,Delhi
23,Delhi
24,Delhi
33,Delhi
44,Delhi
48,Delhi
50,Delhi
11,Kolkata
16,Kolkata
17,Kolkata
18,Kolkata
21,Kolkata
22,Kolkata
32,Kolkata
35,Kolkata
41,Kolkata
47,Kolkata
2,Mumbai
8,Mumbai
12,Mumbai
14,Mumbai
26,Mumbai
28,Mumbai
31,Mumbai
40,Mumbai
43,Mumbai
45,Mumbai
4,Pune
5,Pune
6,Pune
25,Pune
27,Pune
29,Pune
30,Pune
36,Pune
37,Pune
39,Pune
